Tweet ID,Text,Class
1056697104763019265,https://t.co/BfhpCmYqK5 Two eighth nebula 1 #music notes coaster,Music
1056697102091345921,"RT @MainChannel_: Maximum Exposure #twitter #promotion! #books #ebooks #amazon #authors #writers #music #release #launch #ebay...
https://t…",Music
1056697100136800256,"Happy 13th Birthday to my big bro Kevin! ILY💚
.
.
.
 #singer #dancelife #childactor #setlife #music #fun #love… https://t.co/LagPnNEBqR",Music
1056697091744063488,Send me link guys. My goal is to support as much I can. It’s all love. I appreciate the ones who show me love witho… https://t.co/lVccMTJO4t,Music
1056697059657433089,"RT @AEKA0220: ☆本日の あえかライブ☆
心地よい空間にて♪。

2018年10月29日（月）
at イオンモール日の出
13：00-13：30頃
15：00-15：30頃
観覧無料

スケサン拡散希望w
#弾き語り #シンガーソングライター #フリーライブ #あえ…",Music
1056697019442585602,"RT @puagroup: Ayer @AbrahamMateo se lució en el #teatrogranrex ! 🔥
.
.
@AguCasanova_ , uno de nuestros artistas de lujo, cantó junto a él e…",Music
1056697015596470272,RT @TomGerald603: Pick a hit by the Rolling Stones #music #classicRock #polls #poll,Music
1056697009854447616,RT @Nelba_MG: Ana only had one girl cousin. She is deeply shy... and deeply talented.  That she gave me permission to share this is a mirac…,Music
1056696965726158849,RT @projecteve1: What music helps you #motivate 2 workout when all you want to do is sit on the couch? RT &amp; follow @CorningGorilla 4 a chan…,Music
1056696963683491840,Caldera - Triste - 1977  #JAZZ #LOFI #VINYL #BEATS #acoustic #hot #best #music #now #np #NowPlaying #chill #relax… https://t.co/1swGtrONEv,Music
1056696938022748160,#electro #soundcloud #techno #rave #dj #hot #club #dance #music #trance #party #deephouse #club #minimal… https://t.co/Uezckw1n6u,Music
1056696936546402307,"RT @Lthanwordsfest: Wow! Not long now til #Louder2018 #MusicLitFest #Manchester 9-11 Nov We canNOT wait! #Music #Books
All info/tickets: ht…",Music
1056696934063333376,"If all else fails get your air guitar out guitar🎸  and remember music connects people !

#music
#singersongwriter… https://t.co/nd2nGX08aA",Music
1056696932553367553,@IAmRobHazen Live #music onstage in Orlando 🎶 jam w me #superhearts #livemusic #robsmob https://t.co/iNULpkbvh7,Music
1056696924118622208,blinding light. #music #art #poetry #lyrics #poetrylyrics #writers #expression #poem #art #spokenword #writers… https://t.co/L4YWUWgwce,Music
1056696912236036096,"Bouree

A duple-rhythm French dance sometimes found in the baroque dance suite, where it was later placed after the… https://t.co/MvqidNfVCZ",Music
1056696899577745408,"@projecteve1 @corninggorilla @SonyXperiaUS Give me some Imagine Dragons ""Whatever It Takes""
'Cause I love the adren… https://t.co/oTcHwYQXFk",Music
1056696897484685313,"Director Asif Masood
Up artist Waheed Pooja.
 #fadiashaboroz #fadiamusic #newsong #music #genre #song #songs… https://t.co/7hRCQQUvL2",Music
1056696894192267265,RT @sola_akoms: S O N D A Y ☀ Happy Sonday! 🗓 As far as Abba is concerned Everyday is Son Day I am loved! You are l… https://t.co/p7GJ6CcgsC,Music
1056696888198496256,"https://t.co/ALqJZ3iM1C
#shibuya #rock #artwork #illustration #sketch #drawing #music #skull #yuji #smile #graffiti… https://t.co/0JVEE7tX81",Music
1056696886541869056,"Lami Phillips – Sunshine ft. Harrysong https://t.co/s3qTkoZ1yj
#lamiphillips #sunshine #harrysong #music #nigeria https://t.co/dhsvTHsEwR",Music
1056696882456653824,RT @mnaEN: @elissakh There was a massive outpouring of support for @elissakh and thousands of people shared #Elissa (اليسا#) and #To_All_Wh…,Music
1056696878895521792,🎉#happiness and inner #joy for no reason at all. #behappy #selfhealing #excited #momentum #goalsetting #mood… https://t.co/sXlQHDhRZa,Music
1056696877100531713,"#MURPHOnEm 🎃 OCT 31ST 🎞 Souls of the Damned 🎶 will be Available in All Stores to #Stream &amp; #Download

#SOON… https://t.co/bVCJd3UkQH",Music
1056696871996047360,#electro #soundcloud #techno #rave #dj #hot #club #dance #music #trance #party #deephouse #club #minimal… https://t.co/cf0MIms0n5,Music
1056696857211088896,#nowplaying Charlie Wilson - Magic LISTEN HERE: https://t.co/HTFzlUyvlK  #standup #comedy #hilarious #followus #music,Music
1056696848763809793,Train - Drink Up #bigtimeradio #Top40 #Music #Worldwide #Interviews #Billboard https://t.co/L2uHViONJ2,Music
1056696820024274945,"KKBOX - Wondering, Crazy Noizy... Ver. B （2015 Original Remastered）  https://t.co/RsUaPcr5po #KKBOX #音楽ストリーム #music",Music
